---TranskribusBaseLineEvaluationScheme--- 

Evaluation performed on 2019.09.30 at 08:58:38 
Evaluation performed for GT evaluation_output\gt_pages_simple.lst
Evaluation performed for HYPO evaluation_output\generated_pages_simple.lst
Number of pages: 1010

Loading protocol: 
   Everything loaded without errors.

1010 out of 1010 GT-HYPO pairs loaded without errors and used for evaluation.

Number of groundtruth lines: 88647
Number of hypothesis lines: 60505

Pagewise evaluation :
#P value, #R value, #F_1 value, #TruthFileName, #HypoFileName
    0.7483,     0.9615,     0.8416, ../../data/cbad-masks/complex/test/gt\ABP_T_Aigen_am_Inn_003-02_0084.xml, ../../demo/baseline_extraction_output\ABP_T_Aigen_am_Inn_003-02_0084.xml
    0.7758,     0.9798,     0.8659, ../../data/cbad-masks/complex/test/gt\ABP_T_Aigen_am_Inn_004_0044.xml, ../../demo/baseline_extraction_output\ABP_T_Aigen_am_Inn_004_0044.xml
    0.8316,     0.8415,     0.8365, ../../data/cbad-masks/complex/test/gt\ABP_T_Aigen_am_Inn_005_0123.xml, ../../demo/baseline_extraction_output\ABP_T_Aigen_am_Inn_005_0123.xml
    0.9289,     0.7180,     0.8100, ../../data/cbad-masks/complex/test/gt\ABP_T_Aigen_am_Inn_005_0186.xml, ../../demo/baseline_extraction_output\ABP_T_Aigen_am_Inn_005_0186.xml
    0.9256,     0.8615,     0.8924, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_001_0004.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_001_0004.xml
    0.8898,     0.9239,     0.9065, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_004_0396.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_004_0396.xml
    0.8684,     0.9037,     0.8857, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_004_0459.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_004_0459.xml
    0.8502,     0.9333,     0.8898, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_004_0522.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_004_0522.xml
    0.9453,     0.8905,     0.9171, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_004_0650.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_004_0650.xml
    0.8992,     0.9687,     0.9327, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_004_0713.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_004_0713.xml
    0.9389,     0.8990,     0.9185, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_004_0776.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_004_0776.xml
    0.8414,     0.9846,     0.9074, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_005-01_0120.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_005-01_0120.xml
    0.6282,     0.9328,     0.7508, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_005-01_0184.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_005-01_0184.xml
    0.7955,     0.9601,     0.8701, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_005-01_0247.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_005-01_0247.xml
    0.7904,     0.9963,     0.8815, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_006-01_0025.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_006-01_0025.xml
    0.5982,     0.8714,     0.7094, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_006-01_0089.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_006-01_0089.xml
    0.7008,     0.9016,     0.7886, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_006-01_0152.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_006-01_0152.xml
    0.8571,     0.9187,     0.8869, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_006-02_0117.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_006-02_0117.xml
    0.7835,     0.8593,     0.8196, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_007-01_0036.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_007-01_0036.xml
    0.8623,     0.8889,     0.8754, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_008-01_0015.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_008-01_0015.xml
    0.9167,     0.8598,     0.8873, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_008-01_0141.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_008-01_0141.xml
    0.8785,     0.8604,     0.8693, ../../data/cbad-masks/complex/test/gt\ABP_T_Freyung_008-01_0204.xml, ../../demo/baseline_extraction_output\ABP_T_Freyung_008-01_0204.xml
    0.8716,     0.7642,     0.8144, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_002_0436.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_002_0436.xml
    0.7232,     0.7350,     0.7290, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_002_0504.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_002_0504.xml
    0.8955,     0.7903,     0.8396, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0023.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0023.xml
    0.9081,     0.9697,     0.9379, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0087.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0087.xml
    0.9160,     0.8430,     0.8780, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0150.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0150.xml
    0.9275,     0.9240,     0.9257, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0213.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0213.xml
    0.8793,     0.9367,     0.9071, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0276.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0276.xml
    0.7710,     0.9027,     0.8317, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0402.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0402.xml
    0.8930,     0.8449,     0.8683, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0528.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0528.xml
    0.8136,     0.9021,     0.8556, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_003_0591.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_003_0591.xml
    0.9689,     0.9183,     0.9429, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0031.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0031.xml
    0.6736,     0.9275,     0.7804, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0094.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0094.xml
    0.7478,     0.9619,     0.8414, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0157.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0157.xml
    0.8313,     0.9783,     0.8988, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0220.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0220.xml
    0.9101,     0.9514,     0.9303, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0283.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0283.xml
    0.8210,     0.9650,     0.8872, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0346.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0346.xml
    0.9315,     0.9777,     0.9540, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0409.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0409.xml
    0.9713,     0.9657,     0.9685, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0472.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0472.xml
    0.9427,     0.9718,     0.9570, ../../data/cbad-masks/complex/test/gt\ABP_T_Otterskirchen_004_0535.xml, ../../demo/baseline_extraction_output\ABP_T_Otterskirchen_004_0535.xml
    0.8703,     0.8783,     0.8743, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0003.xml
    0.8512,     0.9016,     0.8757, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0005.xml
    0.8448,     0.8910,     0.8673, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0007.xml
    0.8699,     0.8639,     0.8669, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0009.xml
    0.8241,     0.8917,     0.8566, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0011.xml
    0.7551,     0.8942,     0.8188, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0013.xml
    0.7369,     0.8925,     0.8073, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0015.xml
    1.0000,     1.0000,     1.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-077-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-077-0019.xml
    0.6617,     0.9126,     0.7671, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0001.xml
    0.9113,     0.9390,     0.9250, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0003.xml
    0.8977,     0.9340,     0.9155, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0005.xml
    0.9163,     0.9233,     0.9198, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0007.xml
    0.8901,     0.9186,     0.9042, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0009.xml
    0.8847,     0.9006,     0.8926, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0011.xml
    0.8901,     0.9124,     0.9011, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0015.xml
    0.8582,     0.9052,     0.8811, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0017.xml
    0.9257,     0.9444,     0.9350, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0019.xml
    0.8522,     0.9460,     0.8966, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0021.xml
    0.8979,     0.9342,     0.9157, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0023.xml
    0.8548,     0.9239,     0.8880, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0025.xml
    0.0000,     1.0000,     0.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-078-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-078-0027.xml
    0.9125,     0.9497,     0.9307, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0003.xml
    0.8922,     0.9352,     0.9132, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0005.xml
    0.8939,     0.9465,     0.9194, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0007.xml
    0.9366,     0.9095,     0.9229, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0009.xml
    0.8901,     0.9325,     0.9108, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0011.xml
    0.8819,     0.9247,     0.9028, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0013.xml
    0.8804,     0.9505,     0.9141, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0015.xml
    0.8819,     0.9498,     0.9146, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0019.xml
    0.8576,     0.9508,     0.9018, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0021.xml
    0.8832,     0.9387,     0.9101, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0023.xml
    0.8909,     0.9512,     0.9201, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0025.xml
    0.8714,     0.9340,     0.9016, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0027.xml
